0 FZJ 143
1 KIT 95
2 DLR 82
3 Helmholtz 51
4 GFZ 41
5 DKFZ 41
6 DESY 33
7 AWI 29
8 UFZ 25
9 HMGU 19
10 GSI 13
11 hereon 13
12 GEOMAR 11
13 MDC 11
14 DZNE 8
15 CISPA 7
16 HZB 5
17 ORCID 5
