0 2022-7-01 0
1 2022-8-01 3
2 2022-9-01 5
3 2022-10-01 6
4 2022-11-01 8
5 2023-1-01 10
6 2023-2-01 11
7 2023-3-01 26
8 2023-4-01 77
9 2023-5-01 112
10 2023-6-01 129
11 2023-7-01 146
12 2023-8-01 247
13 2023-9-01 308
14 2023-10-01 344
15 2023-11-01 358
16 2024-1-01 375
17 2024-2-01 391
18 2024-3-01 407
19 2024-4-01 420
20 2024-5-01 431
21 2024-6-01 439
22 2024-7-01 448
23 2024-8-01 460
24 2024-9-01 467
25 2024-10-01 536
26 2024-11-01 574
27 2025-1-01 606
28 2025-2-01 615
29 2025-3-01 638
30 2025-4-01 651
31 2025-5-01 668
32 2025-5-5 669
